transaction_id,customer_name,email,amount,date
1001,John Doe,j.doe@email.com,150,1/1/2024
1002,Jane Smith,jane.s@email.com,200.5,1/2/2024
1001,John Doe,j.doe@email.com,150,1/1/2024
1003,Alex Rivera,,45,1/3/2024
1004,Sarah Connor,s.connor@sky.net,300,1/4/2024
1005,Michael Scott,m.scott@dunder.com,,1/5/2024
1002,Jane Smith,jane.s@email.com,200.5,1/2/2024
1006,Ellen Ripley,e.ripley@weyland.com,500,1/6/2024
1007,,unknown@email.com,120,1/7/2024
1008,Bruce Wayne,bruce@wayne.com,1000,1/8/2024
